ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,42.54,-2.08,46,44.62
ME-003,Aroostook County,Maine,41.18,3.18,89,38
ME-005,Cumberland County,Maine,43.67,-0.96,53,44.63
ME-007,Franklin County,Maine,42.44,-1.77,48,44.21
ME-009,Hancock County,Maine,42.85,-2.86,40,45.71
ME-011,Kennebec County,Maine,39.62,-3.29,35,42.91
ME-013,Knox County,Maine,46.64,0.24,66,46.4
ME-015,Lincoln County,Maine,43.01,-1.61,49,44.62
ME-017,Oxford County,Maine,41.91,-1.88,45,43.79
ME-019,Penobscot County,Maine,38.37,-3.36,38,41.73
ME-021,Piscataquis County,Maine,41.26,-0.19,59,41.45
ME-023,Sagadahoc County,Maine,43.35,-1.15,52,44.5
ME-025,Somerset County,Maine,41.06,-0.18,62,41.24
ME-027,Waldo County,Maine,42.67,-2.09,41,44.76
ME-029,Washington County,Maine,42.5,-1.77,48,44.27
ME-031,York County,Maine,40.87,-3.63,33,44.5
