ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,45.8,2.7,118,43.1
ME-003,Aroostook County,Maine,39.8,2,114,37.7
ME-005,Cumberland County,Maine,46.2,2.3,115,43.9
ME-007,Franklin County,Maine,40.7,2.3,113,38.4
ME-009,Hancock County,Maine,45.3,2.3,116,43
ME-011,Kennebec County,Maine,45.6,2.6,118,43
ME-013,Knox County,Maine,45.4,2.1,114,43.3
ME-015,Lincoln County,Maine,46.1,2.5,118,43.6
ME-017,Oxford County,Maine,42.9,2.5,115,40.4
ME-019,Penobscot County,Maine,43.4,2.2,116,41.1
ME-021,Piscataquis County,Maine,40.5,2.2,114,38.3
ME-023,Sagadahoc County,Maine,46.7,2.8,118,43.9
ME-025,Somerset County,Maine,40.7,2.1,113,38.6
ME-027,Waldo County,Maine,45.1,2.4,117,42.7
ME-029,Washington County,Maine,44.7,2.7,117,42.1
ME-031,York County,Maine,46.7,2,111,44.7
