ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,50.51,5.89,103,44.62
ME-003,Aroostook County,Maine,44.46,6.46,113,38
ME-005,Cumberland County,Maine,51.07,6.44,100,44.63
ME-007,Franklin County,Maine,48.69,4.48,98,44.21
ME-009,Hancock County,Maine,58.43,12.72,123,45.71
ME-011,Kennebec County,Maine,48.86,5.95,106,42.91
ME-013,Knox County,Maine,58.46,12.06,117,46.4
ME-015,Lincoln County,Maine,53.99,9.37,111,44.62
ME-017,Oxford County,Maine,50.56,6.77,110,43.79
ME-019,Penobscot County,Maine,51.09,9.36,119,41.73
ME-021,Piscataquis County,Maine,49.5,8.05,116,41.45
ME-023,Sagadahoc County,Maine,52.1,7.6,105,44.5
ME-025,Somerset County,Maine,47.77,6.53,110,41.24
ME-027,Waldo County,Maine,54.26,9.5,110,44.76
ME-029,Washington County,Maine,58.65,14.38,124,44.27
ME-031,York County,Maine,49.08,4.58,94,44.5
