ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,47.2,4,127,43.1
ME-003,Aroostook County,Maine,42,4.3,128,37.7
ME-005,Cumberland County,Maine,47.6,3.7,126,43.9
ME-007,Franklin County,Maine,42.4,4,127,38.4
ME-009,Hancock County,Maine,47.1,4.2,128,43
ME-011,Kennebec County,Maine,47.1,4.1,127,43
ME-013,Knox County,Maine,47.3,4,129,43.3
ME-015,Lincoln County,Maine,47.7,4.1,128,43.6
ME-017,Oxford County,Maine,44.5,4,127,40.4
ME-019,Penobscot County,Maine,45.4,4.2,128,41.1
ME-021,Piscataquis County,Maine,42.6,4.2,128,38.3
ME-023,Sagadahoc County,Maine,47.9,4,127,43.9
ME-025,Somerset County,Maine,42.5,3.9,127,38.6
ME-027,Waldo County,Maine,46.8,4.1,128,42.7
ME-029,Washington County,Maine,46.6,4.6,128,42.1
ME-031,York County,Maine,47.8,3.2,123,44.7
