ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,46.93,2.31,89,44.62
ME-003,Aroostook County,Maine,47.84,9.84,123,38
ME-005,Cumberland County,Maine,47.53,2.9,88,44.63
ME-007,Franklin County,Maine,51.05,6.84,109,44.21
ME-009,Hancock County,Maine,55.06,9.35,110,45.71
ME-011,Kennebec County,Maine,46.81,3.9,99,42.91
ME-013,Knox County,Maine,50.12,3.72,90,46.4
ME-015,Lincoln County,Maine,47.18,2.56,83,44.62
ME-017,Oxford County,Maine,49.13,5.34,100,43.79
ME-019,Penobscot County,Maine,50.54,8.81,116,41.73
ME-021,Piscataquis County,Maine,51.09,9.64,119,41.45
ME-023,Sagadahoc County,Maine,47.23,2.73,91,44.5
ME-025,Somerset County,Maine,49.24,8,114,41.24
ME-027,Waldo County,Maine,50.83,6.07,103,44.76
ME-029,Washington County,Maine,53.97,9.7,109,44.27
ME-031,York County,Maine,48.57,4.07,88,44.5
